DistrictId,WardId,StreetId,Size,Type,FurnishingSell,Urgent,Price
9,132,1159,42.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,26000000000.0
12,169,1618,192.0,Mặt bằng kinh doanh,,0,33000000000.0
14,211,2017,16.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,9000000.0
12,169,1621,105.0,Mặt bằng kinh doanh,,0,9200000000.0
9,133,1165,30.0,Mặt bằng kinh doanh,,0,7590000000.0
15,223,2112,99.0,Mặt bằng kinh doanh,,1,26700000000.0
14,208,1988,120.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,26000000000.0
12,169,1621,108.0,Mặt bằng kinh doanh,,0,13990000000.0
14,210,2005,95.0,Mặt bằng kinh doanh,,0,7700000000.0
12,166,1529,45.0,Mặt bằng kinh doanh,Nội thất đầy đủ,1,4750000000.0
9,134,1172,95.4,Mặt bằng kinh doanh,,0,34000000000.0
12,163,1502,76.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,5800000000.0
14,207,1979,74.0,Mặt bằng kinh doanh,,0,16500000000.0
14,210,2005,130.0,Mặt bằng kinh doanh,,0,250000000.0
12,165,1519,96.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,1,12500000000.0
12,169,1621,200.0,Mặt bằng kinh doanh,,0,19900000000.0
15,223,2112,69.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,19500000000.0
